taxonomy_type,category,count,percent_of_all,percent_excluding_unknown,example_candidate_ids
factor_categories_multi,action_controller_interface,39,7.44,10.68,github_issue::huggingface/lerobot::3401;github_issue::huggingface/lerobot::1316;github_issue::huggingface/lerobot::2413;github_issue::huggingface/lerobot::3246;github_issue::huggingface/lerobot::2630
factor_categories_multi,checkpoint_config_compatibility,34,6.49,9.32,github_issue::huggingface/lerobot::3252;github_issue::huggingface/lerobot::3674;github_issue::huggingface/lerobot::2731;github_issue::huggingface/lerobot::2980;github_issue::huggingface/lerobot::1406
factor_categories_multi,observation_sensor_preprocessing,33,6.30,9.04,github_issue::huggingface/lerobot::2533;github_issue::huggingface/lerobot::502;github_issue::huggingface/lerobot::2980;github_issue::huggingface/lerobot::3636;github_issue::huggingface/lerobot::3830
factor_categories_multi,reset_or_initial_state,30,5.73,8.22,github_issue::huggingface/lerobot::3814;github_issue::huggingface/lerobot::2402;github_issue::huggingface/lerobot::2375;github_issue::huggingface/lerobot::2580;github_issue::facebookresearch/habitat-sim::1756
factor_categories_multi,seed_or_randomness,25,4.77,6.85,github_issue::facebookresearch/habitat-sim::44;github_pr::facebookresearch/habitat-sim::640;github_issue::mani-skill/ManiSkill::892;github_issue::mani-skill/ManiSkill::787;github_issue::mani-skill/ManiSkill::125
factor_categories_multi,evaluation_protocol_metric,21,4.01,5.75,github_issue::huggingface/lerobot::1316;github_issue::huggingface/lerobot::367;github_issue::huggingface/lerobot::470;github_issue::mani-skill/ManiSkill::543;github_pr::allenai/vla-evaluation-harness::7
factor_categories_multi,data_dataset_format,15,2.86,4.11,github_issue::huggingface/lerobot::1578;github_issue::huggingface/lerobot::1369;github_issue::huggingface/lerobot::43;github_issue::huggingface/lerobot::2689;github_issue::facebookresearch/habitat-sim::692
factor_categories_multi,object_scene_task_initialization,15,2.86,4.11,github_issue::mani-skill/ManiSkill::892;github_issue::mani-skill/ManiSkill::862;github_issue::Lifelong-Robot-Learning/LIBERO::131;github_issue::haosulab/ManiSkill-Learn::6;github_issue::mees/calvin::79
factor_categories_multi,training_evaluation_interaction,15,2.86,4.11,github_issue::huggingface/lerobot::2853;github_issue::huggingface/lerobot::2851;github_issue::huggingface/lerobot::2505;github_issue::mani-skill/ManiSkill::882;github_issue::mani-skill/ManiSkill::189
factor_categories_multi,ci_regression_evaluation,2,0.38,0.55,github_issue::mani-skill/ManiSkill::77;github_pr::allenai/vla-evaluation-harness::46
affected_phases_multi,rollout_execution,192,35.16,35.23,github_issue::huggingface/lerobot::3633;github_issue::huggingface/lerobot::2853;github_issue::huggingface/lerobot::3674;github_issue::huggingface/lerobot::3401;github_issue::huggingface/lerobot::1316
affected_phases_multi,benchmark_or_eval_setup,142,26.01,26.06,github_issue::huggingface/lerobot::3264;github_issue::huggingface/lerobot::1316;github_issue::huggingface/lerobot::2457;github_issue::huggingface/lerobot::952;github_issue::huggingface/lerobot::259
affected_phases_multi,environment_reset,78,14.29,14.31,github_issue::huggingface/lerobot::3814;github_issue::huggingface/lerobot::259;github_issue::huggingface/lerobot::2402;github_issue::huggingface/lerobot::2850;github_issue::huggingface/lerobot::3098
affected_phases_multi,observation_processing,31,5.68,5.69,github_issue::huggingface/lerobot::2533;github_issue::huggingface/lerobot::3674;github_issue::huggingface/lerobot::3591;github_issue::huggingface/lerobot::502;github_issue::huggingface/lerobot::2980
affected_phases_multi,runtime_or_dependency_setup,29,5.31,5.32,github_issue::huggingface/lerobot::2134;github_issue::huggingface/lerobot::2697;github_issue::huggingface/lerobot::3247;github_issue::facebookresearch/habitat-sim::1176;github_issue::mani-skill/ManiSkill::1369
affected_phases_multi,metric_computation,23,4.21,4.22,github_issue::huggingface/lerobot::367;github_issue::huggingface/lerobot::470;github_issue::facebookresearch/habitat-sim::405;github_issue::mani-skill/ManiSkill::125;github_issue::mani-skill/ManiSkill::1390
affected_phases_multi,checkpoint_or_config_loading,22,4.03,4.04,github_issue::huggingface/lerobot::3252;github_issue::huggingface/lerobot::2731;github_issue::huggingface/lerobot::1406;github_issue::huggingface/lerobot::2354;github_issue::huggingface/lerobot::3122
affected_phases_multi,data_loading_or_decoding,13,2.38,2.39,github_issue::huggingface/lerobot::1578;github_issue::huggingface/lerobot::1579;github_issue::huggingface/lerobot::2505;github_issue::huggingface/lerobot::43;github_issue::facebookresearch/habitat-sim::692
affected_phases_multi,action_execution,5,0.92,0.92,github_issue::mani-skill/ManiSkill::1052;github_pr::allenai/vla-evaluation-harness::16;github_pr::allenai/vla-evaluation-harness::14;github_issue::stepjam/RLBench::211;github_issue::ARISE-Initiative/robosuite::56
affected_phases_multi,ci_or_regression_testing,5,0.92,0.92,github_pr::facebookresearch/habitat-sim::2160;github_pr::allenai/vla-evaluation-harness::46;github_issue::facebookresearch/habitat-lab::75;github_issue::Farama-Foundation/Metaworld::113;github_pr::Farama-Foundation/Metaworld::238
affected_phases_multi,training_eval_boundary,5,0.92,0.92,github_issue::huggingface/lerobot::2853;github_issue::huggingface/lerobot::2407;github_issue::mani-skill/ManiSkill::882;github_issue::openvla/openvla::299;github_pr::openvla/openvla::334
affected_phases_multi,unknown_or_not_specified,1,0.18,,github_issue::huggingface/lerobot::2211
